client_id,business_name,trade,license_class,roc_number,city,zip,owner,issued,missing,phone,email,website
imperial-developments-llc,Imperial Developments LLC,general,KB-2,348824,Tucson,85746,Holton A Quijada,,phone,,,
david-alan-obrien,David Alan O'Brien,general,KB-1,348823,Tubac,85646,David Alan O'Brien,,phone,,,
portal-services-group-llc,"Portal Services Group, LLC",handyman,R-62,348817,TUCSON,85701,Carol Marie Cardenas,,phone,,,
first-precision-construction-llc,First Precision Construction LLC,general,KB-2,348816,TUCSON,85730,CESAR RALPH ROMERO,,phone,,,
imperial-developments-llc,Imperial Developments LLC,excavating,CR-2,348808,Tucson,85746,Raymond Joseph Almader,,phone,,,
guerreros-flooring-llc,Guerrero's Flooring LLC,flooring,CR-8,348805,Tucson,85706,Sabrina Guerrero,,phone,,,
iron-wood-construction-llc,IRON WOOD CONSTRUCTION LLC,general,KB-2,348800,Tucson,85757,Juan Pedro Grijalva,,phone,,,
dirt-dudes-construction-llc,"Dirt Dudes Construction, LLC",excavating,R-2,348797,Tucson,85747,Kevin Duane Oliver,,phone,,,
michael-j-miles-llc,Michael J Miles LLC,general,B-3,348792,Tucson,85741,Michael J Miles,,phone,,,
summit-contractors-llc,Summit Contractors LLC,roofing,CR-42,348784,Tucson,85756,Erick E Munoz Leal,,phone,,,
rite-way-heating-cooling-and-plumbing-llc,"Rite Way Heating, Cooling and Plumbing LLC",septic,CR-41,348769,Tucson,85714,Shane Ramier Stamback,,phone,,,
arizona-major-league-painting-inc,ARIZONA MAJOR LEAGUE PAINTING INC,painting,CR-34,348768,Tucson,85706,Richard Jr Gonzales,,phone,,,
williams-custom-iron-llc,Williams Custom Iron LLC,welding,CR-24,348749,Vail,85641,Kent Mathias Williams,,phone,,,
d-lake-consulting-llc,D LAKE CONSULTING LLC,plumbing,CR-54,348747,Tucson,85747,David A Lake,,phone,,,
bdr-solutions-west-llc,BDR Solutions West LLC,plumbing,CR-80,348733,Tucson,85705,Brian Roeder,,phone,,,
mir-construction-llc,Mir Construction LLC,general,KA,348712,Tucson,85750,Thane Elliot Mir,,phone,,,
eh3-enterprises-inc,"EH3 Enterprises, Inc.",general,KB-1,348697,Tucson,85747,Emmanuel David Hernandez,,phone,,,
sk-design-build-llc,"S&K Design Build, LLC",signs,A,348683,Marana,85658,Douglas John Gratzer,,phone,,,
simple-eye-holdings-llc,SIMPLE EYE HOLDINGS LLC,carpentry,R-60,348613,Tucson,85719,Russell Cordelle Hrycko,,phone,,,
cochise-repair-renovations-llc,Cochise Repair & Renovations LLC,carpentry,CR-61,348605,SIERRA VISTA,85635,Gregory HOWARD Bill,,phone,,,
rp-mechanical-llc,RP MECHANICAL LLC,hvac,CR-39,348602,Tucson,85742,Trenton Bruce Peterson,,phone,,,
j-d-best-level-drywall-llc,J & D Best Level Drywall LLC,sheetrock,CR-10,348593,Sierra Vista,85635,Julissa Phillips,,phone,,,
steve-scott-peters,Steve Scott Peters,plumbing,R-37R,348588,Rio Rico,85629,Steve Scott Peters,,phone,,,
rbl-ventures-llc,RBL VENTURES LLC,general,KB-1,348568,Tucson,85749,Robert Barry Lee,,phone,,,
plumber-of-arizona-pllc,"Plumber of Arizona, P.L.L.C.",carpentry,CR-61,348543,Tucson,85705,Don Robert Paz,,phone,,,
effective-wire-electric-inc,Effective Wire Electric Inc,electrical,CR-11,348526,Oro Valley,85755,Miguel Angel Rojas Vega,,phone,,,
white-cora-llc,White-Cora LLC,masonry,CR-36,348499,Rio Rico,85648,Humberto Martinez Jimenez Jr,,phone,,,
ds-design-studio-llc,DS Design Studio LLC,handyman,R-62,348481,Oro Valley,85755,Daniel Smith,,phone,,,
workman-company-llc,Workman Company LLC,general,KB-2,348468,Oro Valley,85741,Thomas Jeffrey Pratt,,phone,,,
valueadded-llc,Valueadded LLC,general,KB-2,348457,Sahuarita,85629,Matthew Bergstrom,,phone,,,
smaka-metal-llc,Smaka Metal LLC,welding,CR-24,348453,Tucson,85719,Lia Smaka,,phone,,,
jcl-general-contracting-llc,JCL General Contracting LLC,hvac,CR-39,348452,Tucson,85730,Chad Aaron Cassett,,phone,,,
bedoy-builders-llc,Bedoy Builder's LLC,general,KB-2,348450,Oro Valley,85737,Robert Rene Bedoy,,phone,,,
